place,sector,employment,proportion
Vernon,326 Plastics and rubber products manufacturing,180,0.006189821
"Estevan, SK",324 Petroleum and coal products manufacturing,50,0.00617284
Bay Roberts,327 Non-metallic mineral product manufacturing,30,0.006153846
Moose Jaw,324 Petroleum and coal products manufacturing,110,0.006124722
Kelowna,211 Oil and gas extraction,625,0.006109781
Powell River,213 Support activities for mining and oil and gas extraction,45,0.006085193
"Sarnia, ON",336 Transportation equipment manufacturing,275,0.006030041
Prince George,213 Support activities for mining and oil and gas extraction,285,0.006008222
Campbell River,211 Oil and gas extraction,110,0.005976637
"Centre Wellington, ON",325 Chemical manufacturing,90,0.00596817
New Glasgow,213 Support activities for mining and oil and gas extraction,95,0.005948654
Moose Jaw,213 Support activities for mining and oil and gas extraction,105,0.005846325
"Williams Lake, BC",213 Support activities for mining and oil and gas extraction,55,0.005765199
"Leamington, ON",331 Primary metal manufacturing,130,0.005752212
Trois-Rivi̬res,325 Chemical manufacturing,425,0.005738978
"Brockville, ON",331 Primary metal manufacturing,105,0.005728314
Quesnel,213 Support activities for mining and oil and gas extraction,65,0.005711775
Oshawa,325 Chemical manufacturing,1125,0.005682679
Carleton Place,336 Transportation equipment manufacturing,95,0.005671642
"Woodstock, ON",327 Non-metallic mineral product manufacturing,120,0.005659043
Courtenay,211 Oil and gas extraction,140,0.005642886
"Windsor, ON",331 Primary metal manufacturing,885,0.005638559
Regina,212 Mining and quarrying (except oil and gas),740,0.005611374
Abbotsford - Mission,336 Transportation equipment manufacturing,510,0.005518585
Cornwall,326 Plastics and rubber products manufacturing,145,0.005492424
Saskatoon,213 Support activities for mining and oil and gas extraction,900,0.005489981
Abbotsford - Mission,327 Non-metallic mineral product manufacturing,505,0.005464481
Saint-Hyacinthe,325 Chemical manufacturing,160,0.005456095
Salmon Arm,326 Plastics and rubber products manufacturing,45,0.005431503
Granby,325 Chemical manufacturing,230,0.005420054
Hamilton,325 Chemical manufacturing,2095,0.005416796
Lachute,326 Plastics and rubber products manufacturing,30,0.00541028
Brantford,327 Non-metallic mineral product manufacturing,370,0.005368933
Oshawa,326 Plastics and rubber products manufacturing,1055,0.00532909
Drummondville,325 Chemical manufacturing,255,0.005306972
"Centre Wellington, ON",327 Non-metallic mineral product manufacturing,80,0.00530504
Montr̩al,326 Plastics and rubber products manufacturing,11285,0.005304984
Abbotsford - Mission,326 Plastics and rubber products manufacturing,490,0.00530217
Quesnel,211 Oil and gas extraction,60,0.005272408
"Sylvan Lake, AB",325 Chemical manufacturing,45,0.005250875
"Weyburn, SK",331 Primary metal manufacturing,30,0.005226481
Shawinigan,325 Chemical manufacturing,120,0.00517576
